# License GPL
#
# - modified hankaku kana to zenkaku kana
# - added basic japanese letters
# by M.Ohtsuka(mash)
# 
# Modified by mattn

##
## This file should use UTF-8 encoding
##
## User dictionary format:
## <text>,<text>,<reading>,<part-of-speech>
## or
## <text>,<token1> <token2> ... <tokenn>,<reading1> <reading2> ... <readingn>,<part-of-speech>
##

Zyuganov,Zyuganov,ジュガノフ,カスタム名詞
Zygote,Zygote,ザイゴウト,カスタム名詞
Zygomatic,Zygomatic,ザイゴウマティク,カスタム名詞
Zygoma,Zygoma,ザイゴウマ,カスタム名詞
Zydeco,Zydeco,ザイデコウ,カスタム名詞
Zvegintzov,Zvegintzov,ズベジンツフ,カスタム名詞
Zurich,Zurich,ツーリッヒ,カスタム名詞
Zulu,Zulu,ズールー,カスタム名詞
Zukerman,Zukerman,ズッカーマン,カスタム名詞
Zucker,Zucker,ズッカー,カスタム名詞
Zucchini,Zucchini,ヅキニー,カスタム名詞
Zubaydah,Zubaydah,ヅバイダー,カスタム名詞
Zovirax,Zovirax,ゾビラックス,カスタム名詞
Zoster,Zoster,ゾスター,カスタム名詞
Zoroastrian,Zoroastrian,ゾーロウアストゥリアン,カスタム名詞
Zooming,Zooming,ズーミング,カスタム名詞
Zoomer,Zoomer,ズーマー,カスタム名詞
Zoom,Zoom,ズーム,カスタム名詞
Zoology,Zoology,ゾウアロジイ,カスタム名詞
Zoologist,Zoologist,ゾウアロジスト,カスタム名詞
Zoologically,Zoologically,ゾウアロジカリイ,カスタム名詞
Zoological,Zoological,ゾウアロジカル,カスタム名詞
Zoo,Zoo,ズー,カスタム名詞
Zone,Zone,ゾウン,カスタム名詞
Zombies,Zombies,ゾンビーズ,カスタム名詞
Zola,Zola,ゾラ,カスタム名詞
Zodiac,Zodiac,ゾウディアック,カスタム名詞
Zocor,Zocor,ゾコー,カスタム名詞
Zmodem,Zmodem,ゼットモデム,カスタム名詞
Ziyang,Ziyang,ジヤン,カスタム名詞
Ziti,Ziti,ジーテ,カスタム名詞
Zirconia,Zirconia,ザーコウニア,カスタム名詞
Zircon,Zircon,ジルコーン,カスタム名詞
Zippy,Zippy,ジッピイ,カスタム名詞
Zipporah,Zipporah,チッポラ,カスタム名詞
Zippo,Zippo,ジッポウ,カスタム名詞
Zipping,Zipping,ジッピング,カスタム名詞
Zippily,Zippily,ジッピリー,カスタム名詞
Zipper,Zipper,ジッパー,カスタム名詞
Zippel,Zippel,ジッペル,カスタム名詞
Zipped,Zipped,ジップト,カスタム名詞
Zip,Zip,ジップ,カスタム名詞
Zionist,Zionist,ザイアニスト,カスタム名詞
Zinnia,Zinnia,ジニア,カスタム名詞
Zinni,Zinni,ジニ,カスタム名詞
Zinkernagel,Zinkernagel,ジンカーナゲル,カスタム名詞
Zinger,Zinger,ジンガー,カスタム名詞
Zing,Zing,ジング,カスタム名詞
Zinder,Zinder,ジンダー,カスタム名詞
Zinc,Zinc,ジンク,カスタム名詞
Zimmerman,Zimmerman,ジマーマン,カスタム名詞
Zimbabwe,Zimbabwe,ジンバブウ,カスタム名詞
Zilog,Zilog,ザイログ,カスタム名詞
Zillion,Zillion,ズィリオン,カスタム名詞
Zilch,Zilch,ジルチ,カスタム名詞
Zigzagging,Zigzagging,ジグザギング,カスタム名詞
Zigzagged,Zigzagged,ジグザグド,カスタム名詞
Zigzag,Zigzag,ジグザグ,カスタム名詞
Ziggy,Ziggy,ジギー,カスタム名詞
Zift,Zift,ジフト,カスタム名詞
Zielinkiski,Zielinkiski,ジーリンスキイ,カスタム名詞
Ziegler,Ziegler,ジーグラー,カスタム名詞
Zhu,Zhu,ジュー,カスタム名詞
Zhila,Zhila,ジラ,カスタム名詞
Zhao,Zhao,ジャウ,カスタム名詞
Zhang,Zhang,ジャーン,カスタム名詞
Zha,Zha,ツアー,カスタム名詞
Zeus,Zeus,ゼウス,カスタム名詞
Zeugma,Zeugma,ズーグマ,カスタム名詞
Zesty,Zesty,ゼスティイ,カスタム名詞
Zestfully,Zestfully,ゼストゥフリー,カスタム名詞
Zest,Zest,ゼスト,カスタム名詞
Zeroes,Zeroes,ゼロウズ,カスタム名詞
Zeppelin,Zeppelin,ツェッペリン,カスタム名詞
Zephyr,Zephyr,ゼファー,カスタム名詞
Zeos,Zeos,ジオス,カスタム名詞
Zenith,Zenith,ゼニス,カスタム名詞
Zeneca,Zeneca,ゼネカ,カスタム名詞
Zen,Zen,ゼン,カスタム名詞
Zelkova,Zelkova,ゼルコバ,カスタム名詞
Zeitgeist,Zeitgeist,ツアイトゥガイスト,カスタム名詞
Zeist,Zeist,ザイスト,カスタム名詞
Zedong,Zedong,ゼゾン,カスタム名詞
Zebulun,Zebulun,ゼビュラン,カスタム名詞
Zebulon,Zebulon,ゼビュラン,カスタム名詞
Zebroski,Zebroski,ゼブロスキイ,カスタム名詞
Zebra,Zebra,ゼブラ,カスタム名詞
Zealous,Zealous,ズィーラス,カスタム名詞
Zealots,Zealots,ゼラツ,カスタム名詞
Zealot,Zealot,ゼラト,カスタム名詞
Zealand,Zealand,ジーランド,カスタム名詞
Zeal,Zeal,ズィール,カスタム名詞
Zea,Zea,ズィイ,カスタム名詞
Zcopy,Zcopy,ゼットコピー,カスタム名詞
Zaurus,Zaurus,ザウルス,カスタム名詞
Zardari,Zardari,ザルダリ,カスタム名詞
Zard,Zard,ザード,カスタム名詞
Zapruder,Zapruder,ザプルーダー,カスタム名詞
Zapping,Zapping,ザッピング,カスタム名詞
Zapped,Zapped,ザップト,カスタム名詞
Zapotec,Zapotec,サポテク,カスタム名詞
Zapatist,Zapatist,ザパチスト,カスタム名詞
Zap,Zap,ザップ,カスタム名詞
Zanzibar,Zanzibar,ザンジバー,カスタム名詞
Zany,Zany,ゼイニー,カスタム名詞
Zantac,Zantac,ザンタック,カスタム名詞
Zang,Zang,ザング,カスタム名詞
Zamboni,Zamboni,ザンボウニイ,カスタム名詞
Zambian,Zambian,ザンビアン,カスタム名詞
Zambia,Zambia,ザンビア,カスタム名詞
Zaire,Zaire,ザイアー,カスタム名詞
Z,Z,ズ,カスタム名詞
Yvonne,Yvonne,イボンヌ,カスタム名詞
Yves,Yves,イーブ,カスタム名詞
Yuths,Yuths,ユダス,カスタム名詞
Yuppie,Yuppie,ヤッピイ,カスタム名詞
Yung,Yung,ユン,カスタム名詞
Yummy,Yummy,ヤミー,カスタム名詞
Yumashev,Yumashev,ユマシェフ,カスタム名詞
Yum,Yum,ヤム,カスタム名詞
Yukon,Yukon,ユーコン,カスタム名詞
Yuko,Yuko,ユーコ,カスタム名詞
Yuji,Yuji,ユウジ,カスタム名詞
Yuichi,Yuichi,ユーイチ,カスタム名詞
Yugoslavian,Yugoslavian,ユーゴスラビアン,カスタム名詞
Yugoslavia,Yugoslavia,ユーゴスラビア,カスタム名詞
Yugoslav,Yugoslav,ユーゴスラブ,カスタム名詞
Yuck,Yuck,ヤック,カスタム名詞
Yucatan,Yucatan,ユカタン,カスタム名詞
Yubin,Yubin,ユービン,カスタム名詞
Yuan,Yuan,ユーアン,カスタム名詞
